,ASX code,Company name,GICs industry group,Listing date,Market Cap
136,ALX.AX,ATLAS ARTERIA,Transportation,25/01/2010,8893610624
137,ALY.AX,ALCHEMY RESOURCES LIMITED,Materials,26/11/2007,20027296
138,AM7.AX,ARCADIA MINERALS LIMITED,Materials,25/06/2021,10687513
139,AMA.AX,AMA GROUP LIMITED,Commercial & Professional Services,31/08/2006,118037724
140,AMC.AX,AMCOR PLC,Materials,28/08/1969,21652604231
141,AMD.AX,ARROW MINERALS LTD,Materials,28/10/2005,9071295
142,AME.AX,ALTO METALS LIMITED,Materials,20/12/2012,39833006
143,AMH.AX,AMCIL LIMITED,Not Applic,10/02/2000,315006085
144,AMI.AX,AURELIA METALS LIMITED,Materials,08/05/2007,135174870
145,AML.AX,AEON METALS LIMITED.,Materials,14/06/2007,19989011
146,AMM.AX,ARMADA METALS LIMITED,Materials,15/12/2021,3744000
147,AMN.AX,AGRIMIN LIMITED,Materials,09/10/2007,51903447
148,AMO.AX,AMBERTECH LIMITED,Technology Hardware & Equipment,10/12/2004,21446308
149,AMP.AX,AMP LIMITED,Financial Services,15/06/1998,3284632349
150,AMS.AX,ATOMOS LIMITED,Consumer Durables & Apparel,28/12/2018,SUSPENDED
151,AMT.AX,ALLEGRA ORTHOPAEDICS LIMITED,Health Care Equipment & Services,05/12/2007,6267552
152,AMX.AX,AEROMETREX LIMITED,Commercial & Professional Services,10/12/2019,28446528
153,AN1.AX,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",09/12/2005,5484299
154,AND.AX,ANSARADA GROUP LIMITED,Software & Services,14/02/2020,85315467
155,ANG.AX,AUSTIN ENGINEERING LIMITED,Capital Goods,09/03/2004,154584990
156,ANL.AX,AMANI GOLD LIMITED,Materials,14/12/2006,25143441
157,ANN.AX,ANSELL LIMITED,Health Care Equipment & Services,22/08/1985,3333305695
158,ANO.AX,ADVANCE ZINCTEK LIMITED,Materials,24/02/2005,110451312
159,ANP.AX,ANTISENSE THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",20/12/2001,40158872
160,ANR.AX,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",16/10/2014,3237948
161,ANX.AX,ANAX METALS LIMITED,Materials,15/06/2004,28657638
162,ANZ.AX,ANZ GROUP HOLDINGS LIMITED,Banks,30/09/1969,69978446021
163,AO1.AX,ASSETOWL LIMITED,Software & Services,30/05/2011,1947130
164,AOA.AX,AUSMON RESOURCES LIMITED,Materials,31/03/2009,4134357
165,AOF.AX,AUSTRALIAN UNITY OFFICE FUND,Equity Real Estate Investment Trusts (REITs),20/06/2016,247397073
166,AON.AX,APOLLO MINERALS LIMITED,Materials,31/10/2007,18956984
167,APA.AX,APA GROUP,Utilities,13/06/2000,11787139542
168,APC.AX,AUSTRALIAN POTASH LIMITED,Materials,20/12/2011,9348112
169,APE.AX,EAGERS AUTOMOTIVE LIMITED,Consumer Discretionary Distribution & Retail,17/04/1957,3255410108
170,APL.AX,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services,30/09/2004,14526266
171,APM.AX,APM HUMAN SERVICES INTERNATIONAL LIMITED,Commercial & Professional Services,12/11/2021,1935253906
172,APS.AX,ALLUP SILICA LIMITED,Materials,02/05/2022,4479118
173,APW.AX,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs),17/12/2004,51864732
174,APX.AX,APPEN LIMITED,Software & Services,07/01/2015,420934495
175,APZ.AX,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs),11/04/1991,319369891
176,AQC.AX,AUSTRALIAN PACIFIC COAL LIMITED,Materials,17/12/1999,50360088
177,AQD.AX,AUSQUEST LIMITED,Materials,25/11/2003,12377238
178,AQI.AX,ALICANTO MINERALS LIMITED,Materials,19/09/2012,19452125
179,AQN.AX,AQUIRIAN LIMITED,Commercial & Professional Services,27/07/2021,14903929
180,AQS.AX,AQUIS ENTERTAINMENT LIMITED,Consumer Services,02/12/2011,33325389
181,AQX.AX,ALICE QUEEN LIMITED,Materials,09/09/2004,2530288
182,AQZ.AX,ALLIANCE AVIATION SERVICES LIMITED,Transportation,20/12/2011,459701233
183,AR1.AX,AUSTRAL RESOURCES AUSTRALIA LTD,Materials,03/11/2021,121248140
184,AR3.AX,AUSTRALIAN RARE EARTHS LIMITED,Materials,01/07/2021,42149819
185,AR9.AX,ARCHTIS LIMITED,Software & Services,21/09/2018,21704105
186,ARA.AX,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,12/10/1982,104907704
187,ARB.AX,ARB CORPORATION LIMITED.,Automobiles & Components,26/06/1987,2256088737
188,ARC.AX,ARC FUNDS LIMITED,Financial Services,14/04/2000,6015270
189,ARD.AX,ARGENT MINERALS LIMITED,Materials,03/04/2008,11764812
190,ARE.AX,ARGONAUT RESOURCES NL,Materials,23/01/1986,6361871
191,ARF.AX,ARENA REIT.,Equity Real Estate Investment Trusts (REITs),13/06/2013,1322158133
192,ARG.AX,ARGO INVESTMENTS LIMITED,Not Applic,31/03/1963,6671631153
193,ARL.AX,ARDEA RESOURCES LIMITED,Materials,09/02/2017,59303696
